,Title,Artist,Year,Rank,Genre,Spotify Song ID
50,Lo Siento BB:/,"Tainy, Bad Bunny & Julieta Venegas",2021,51,"latin pop, latin, trap latino, reggaeton",4gzsuuZypVbxs0Af1LSZyB
51,Wild Side,Normani Featuring Cardi B,2021,52,"dance pop, pop",2vXgyN14LX2zl7JEASw242
52,Flocky Flocky,Don Toliver Featuring Travis Scott,2021,53,rap,25r6MZ4Gtd76l43qnZI1DG
53,Have Mercy,Chloe,2021,54,-,5SixeLvPsYpk7qq9lo5xYg
54,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,2021,55,contemporary country,7DhvNzyMM8jJWcfykG3psB
55,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",2021,56,"trap, rap, pop rap, r&b",2CDVqsGGkf2v1tMETt3fq5
56,Late At Night,Roddy Ricch,2021,57,"melodic rap, rap, trap",1fxYz1s15pyZLsJT0Hdh1m
57,2055,Sleepy Hallow,2021,58,"brooklyn drill, nyc rap",4XvcHTUfIlWfyJTRG0aqlo
58,Whole Lotta Money,BIA Featuring Nicki Minaj,2021,59,"escape room, r&b, rap latina, trap queen, dance pop, hip pop, pop, pop rap, queens hip hop",67G6iaOw8DZqp1z8STR89R
59,Memory,Kane Brown X blackbear,2021,60,"contemporary country, country road, pop, pop rap",34chhNX59Wo9HMFCsI3K8Y
60,Esta Danada,Ivan Cornejo,2021,61,"corrido, corridos tumbados, nuevo regional mexicano",6G2xXQRSZlEzYsUEb3uvuR
61,Knowing You,Kenny Chesney,2021,62,"contemporary country, country, country road",2EEfUuBRZA4Ax1vYcluFS0
62,Woman,Doja Cat,2021,63,"dance pop, pop",6Uj1ctrBOjOas8xZXGqKk4
63,Same Boat,Zac Brown Band,2021,64,"contemporary country, country, country road, modern country rock",2VmccNZz4zFmlcXstY8a2D
64,Chosen,Blxst & Tyga Featuring Ty Dolla $ign,2021,65,"trap, pop rap, hip hop, southern hip hop",1dIWPXMX4kRHj6Dt2DStUQ
65,Too Easy,Gunna & Future,2021,66,"trap, rap, atl hip hop",4eL3XeuGaEoVT8ttDh3hwY
66,Volvi,Aventura x Bad Bunny,2021,67,"latin, trap latino",2vmfvSoZBFAt9hhRoEByLi
67,Easy On Me,Adele,2021,68,"british soul, pop, pop soul, uk pop",0gplL1WMoJ6iYaPgMCL0gX
68,Jugaste y Sufri,Eslabon Armado Featuring DannyLux,2021,69,"nuevo regional mexicano, corridos tumbados",3NqBxTOMCJ3zW9CIP51td4
69,Todo de Ti,Rauw Alejandro,2021,70,"puerto rican pop, trap latino",4fSIb4hdOQ151TILNsSEaF
70,Thot Shit,Megan Thee Stallion,2021,71,"houston rap, pop, trap queen",5zNW5ARjYhJQJz1AChP33n
71,Sand In My Boots,Morgan Wallen,2021,72,contemporary country,0uRrG2jRR5tuifsYIJHEao
72,Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,2021,73,"country road, modern country rock, contemporary country, country",1UYfAU2bwgjaM5rIIPQleC
73,No Friends In The Industry,Drake,2021,74,"canadian hip hop, canadian pop, hip hop, rap, toronto rap",2tUL6dZf1mywCj5WvCPZw6
74,WFM,Realestk,2021,75,-,18ddJHQ7CUzNBiy55L0Xjj
75,Yonaguni,Bad Bunny,2021,76,"latin, reggaeton, trap latino",2JPLbjOn0wPCngEot2STUS
76,Champagne Poetry,Drake,2021,77,"canadian hip hop, canadian pop, hip hop, rap, toronto rap",2HSmyk2qMN8WQjuGhaQgCk
77,One Mississippi,Kane Brown,2021,78,"contemporary country, country road",4FdPnT2cFrpWCmWZd7GXc3
78,Get Into It (Yuh),Doja Cat,2021,79,"dance pop, pop",0W6I02J9xcqK8MtSeosEXb
79,You Time,Scotty McCreery,2021,80,"contemporary country, country, country road, modern country rock",0pJalGEYsRikSogLkXU6KV
80,Your Heart,Joyner Lucas & J. Cole,2021,81,"rap, hip hop",2DTpP3caqX3QdJIEoS83mD
81,Whiskey And Rain,Michael Ray,2021,82,"contemporary country, country, country pop, country road, modern country rock",1tf4Bfk8JIKryLpWYRvyiI
82,In The Bible,Drake Featuring Lil Durk & Giveon,2021,83,"rap, hip hop",61S79KIVA4I9FXbnsylEHT
83,Summer Of Love,Shawn Mendes & Tainy,2021,84,"canadian pop, dance pop, pop, viral pop, latin, latin hip hop, latin pop, pop reggaeton, reggaeton, trap latino",0z8hI3OPS8ADPWtoCjjLl6
84,Maybach,42 Dugg Featuring Future,2021,85,"trap, rap, southern hip hop",2Qt8qG9SWPdtRiaWcPNJRm
85,Tequila Little Time,Jon Pardi,2021,86,"contemporary country, country, country road, modern country rock",15npbUjCgwt2lRvyrJvyxw
86,Waves,Luke Bryan,2021,87,"chicago rap, rap",3nAq2hCr1oWsIU54tS98pL
87,Freedom Was A Highway,Jimmie Allen & Brad Paisley,2021,88,contemporary country,3J5jotqUAjU479WhAiNkpU
88,Nevada,YoungBoy Never Broke Again,2021,89,"baton rouge rap, trap",2cEnKRR4dYBB2VA1mjlb1z
89,Like A Lady,Lady A,2021,90,"contemporary country, country, country dawn, country pop, country road",5SulrwmIUDbU5TQQtoYHhL
90,Life Goes On,Oliver Tree,2021,91,alternative hip hop,0eu4C55hL6x29mmeAjytzC
91,Woo Baby,Pop Smoke Featuring Chris Brown,2021,92,"brooklyn drill, dance pop, pop, pop rap, r&b, rap",58T4yPLn4NjBYXfRxeweyM
92,Life Support,YoungBoy Never Broke Again,2021,93,"baton rouge rap, trap",2CMVajzxRuxsFNzYFkzjTb
93,'Til You Can't,Cody Johnson,2021,94,"contemporary country, country road, texas country",4k3lPl8YTKuY8c1HelVnm3
94,Who's In Your Head,Jonas Brothers,2021,95,"boy band, dance pop, pop, post-teen pop",5nhW8I46uDE5sc5ouEbzao
95,Ain't Shit,Doja Cat,2021,96,"dance pop, pop",5lAnYvAIkSDNXqfo7DyFUm
96,Just About Over You,Priscilla Block,2021,97,"contemporary country, country pop",4Ec0q0j8hRTCX4QQ5MiHSX
97,For Tonight,Giveon,2021,98,"pop, r&b",61Emqg95O9zo1GNOcyxq4Y
98,Praise God,Kanye West,2021,99,"chicago rap, rap",0WSEq9Ko4kFPt8yo3ICd6T
99,Bad Morning,YoungBoy Never Broke Again,2021,100,"baton rouge rap, trap",14RtRKcWhxg2qPGLMR21tf
