,Title,Artist,Year,Rank
120,Everybody Talks,Neon Trees,2012,22
121,Take Care,Drake Featuring Rihanna,2012,23
122,Titanium,David Guetta Featuring Sia,2012,24
123,I Won't Give Up,Jason Mraz,2012,25
124,It Will Rain,Bruno Mars,2012,26
125,Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",2012,27
126,Boyfriend,Justin Bieber,2012,28
127, Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,2012,29
128,Too Close,Alex Clare,2012,30
129,Part Of Me,Katy Perry,2012,31
130,"Young, Wild & Free  ",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,2012,32
131,We Are Never Ever Getting Back Together,Taylor Swift,2012,33
132,As Long As You Love Me,Justin Bieber Featuring Big Sean,2012,34
133,Turn Me On,David Guetta Featuring Nicki Minaj,2012,35
134,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,2012,36
135,Blow Me (One Last Kiss),P!nk,2012,37
136,Good Time,Owl City & Carly Rae Jepsen,2012,38
137,Give Your Heart A Break,Demi Lovato,2012,39
138, Ni**as in Paris,Jay Z Kanye West,2012,40
139,The One That Got Away,Katy Perry,2012,41
140,Feel So Close,Calvin Harris,2012,42
141,Someone Like You,Adele,2012,43
142,Scream,Usher,2012,44
143,Rack City,Tyga,2012,45
144,Domino,Jessie J,2012,46
145,Gangnam Style,PSY,2012,47
146,International Love,Pitbull Featuring Chris Brown,2012,48
147,Home,Phillip Phillips,2012,49
148,Without You,David Guetta Featuring Usher,2012,50
149,Ass Back Home,Gym Class Heroes Featuring Neon Hitch,2012,51
150,Wanted,Hunter Hayes,2012,52
151,Drunk On You,Luke Bryan,2012,53
152,No Lie,2 Chainz Featuring Drake,2012,54
153,Want U Back,Cher Lloyd,2012,55
154,Don't Wake Me Up,Chris Brown,2012,56
155,Dance (A$$),Big Sean Featuring Nicki Minaj,2012,57
156,Springsteen,Eric Church,2012,58
157,Brokenhearted,Karmin,2012,59
158,Not Over You,Gavin DeGraw,2012,60
159,Stereo Hearts,Gym Class Heroes Featuring Adam Levine,2012,61
160,Back In Time,Pitbull,2012,62
161,Work Out,J. Cole,2012,63
162,Rumour Has It,Adele,2012, 64
163,Let's Go,Calvin Harris Featuring Ne-Yo,2012,65
164,Good Girl,Carrie Underwood,2012,66
165,Pontoon,Little Big Town,2012,67
166,Ho Hey,The Lumineers,2012,68
167,Paradise,Coldplay,2012,69
168,Blown Away,Carrie Underwood,2012,70
169,Rolling In The Deep,Adele,2012,71
170,Climax,Usher,2012,72
171,"Work Hard, Play Hard",Wiz Khalifa,2012,73
172,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,2012,74
173,Pound The Alarm,Nicki Minaj,2012,75
174,Come Over,Kenny Chesney,2012,76
175,Heart Attack,Trey Songz,2012,77
176,Drank In My Cup,Kirko Bangz,2012,78
177,Birthday Cake,Rihanna Featuring Chris Brown,2012,79
178,So Good,B.o.B,2012,80
179,50 Ways To Say Goodbye,Train,2012,81  
180,Red Solo Cup,Toby Keith,2012,82
181,Love You Like A Love Song,Selena Gomez & The Scene,2012,83
182,Turn Up The Music,Chris Brown,2012,84
183,Die Young,Ke$ha,2012,85
184,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,2012,86
185,A Thousand Years,Christina Perri,2012,87
186,Take A Little Ride,Jason Aldean,2012,88
187,You Da One,Rihanna,2012,89
188,We Run The Night,Havana Brown Featuring Pitbull,2012,90
189,It's Time,Imagine Dragons,2012,91
190,Cashin' Out,Ca$h Out,2012,92
191,I Don't Want This Night To End,Luke Bryan,2012,93
192,Diamonds,Rihanna,2012,94
193,Hard To Love,Lee Brice,2012,95
194,Somethin' 'Bout A Truck,Kip Moore,2012,96
195,Adorn,Miguel,2012,97
196,Fly Over States,Jason Aldean,2012,98
197,Even If It Breaks Your Heart,Eli Young Band,2012,99
198,Burn It Down,Linkin Park,2012,100
199,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,2013,1
200,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2013,2
201,Radioactive,Imagine Dragons,2013,3
202,Harlem Shake,Baauer,2013,4
203,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,2013,5
204,Mirrors,Justin Timberlake,2013,6
205,Just Give Me A Reason,P!nk Featuring Nate Ruess,2013,7
206,When I Was Your Man,Bruno Mars,2013,8
207,Cruise,Florida Georgia Line Featuring Nelly,2013,9
208,Roar,Katy Perry,2013,10
209,Locked Out Of Heaven,Bruno Mars,2013,11
210,Ho Hey,The Lumineers,2013,12
211,Stay,Rihanna Featuring Mikky Ekko,2013,13
212,Get Lucky,Daft Punk Featuring Pharrell Williams,2013,14
213,Royals,Lorde,2013,15
214,I Knew You Were Trouble.,Taylor Swift,2013,16
215,We Can't Stop,Miley Cyrus,2013,17
216,Wrecking Ball,Miley Cyrus,2013,18
217,Wake Me Up!,Avicii,2013,19
218,Suit & Tie,Justin Timberlake Featuring JAY Z,2013,20
219,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,2013,21
220,Holy Grail,Jay Z Featuring Justin Timberlake,2013,22
221,Scream & Shout,will.i.am & Britney Spears,2013,23
222,Clarity,Zedd Featuring Foxes,2013,24
223,Sail,AWOLNATION,2013,25
224,Don't You Worry Child,Swedish House Mafia Featuring John Martin,2013,26
225,Diamonds,Rihanna,2013,27
226,I Love It,Icona Pop Featuring Charli XCX,2013,28
227,Safe And Sound,Capital Cities,2013,29
228, Treasure,Bruno Mars,2013,30
229,The Way,Ariana Grande Featuring Mac Miller,2013,31
230,Started From The Bottom,Drake,2013,32
231,Come & Get It,Selena Gomez,2013,33
232,"Hold On, We're Going Home",Drake Featuring Majid Jordan,2013,34
233,Daylight,Maroon 5,2013,35
234,Feel This Moment,Pitbull Featuring Christina Aguilera,2013,36
235,Applause,Lady Gaga,2013,37
236,One More Night,Maroon 5,2013,38
237,Love Me,Lil Wayne Featuring Drake & Future,2013,39
238,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,2013,40
239,F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",2013,41
240,Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,2013,42
241,Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert,2013,43
242,Sweet Nothing,Calvin Harris Featuring Florence Welch,2013,44
243,Summertime Sadness,Lana Del Rey & Cedric Gervais,2013,45
